embed_dropout,full_embed_dropout,shared_embed,add_shared_embed,frac_shared_embed,input_dim,n_heads,n_blocks,dropout,ff_hidden_dim,transformer_activation,mlp_hidden_dims,mlp_activation,mlp_batchnorm,mlp_batchnorm_last,mlp_linear_first,with_wide,lr,batch_size,weight_decay,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss_or_metric
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.0004,128,0.0,RAdam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.3074871016045411
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3143594500919183
0.0,False,False,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3153639684120814
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3158126961853769
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3161818674869007
0.0,False,False,False,8,32,4,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3179127379424042
0.0,False,False,False,8,64,16,4,0.1,,relu,same,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3201714104248417
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3229903620150354
0.0,False,True,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3232748897539245
0.0,False,True,False,8,32,8,8,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3285776235991054
0.0,False,False,False,8,64,16,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3326044169565041
0.0,False,False,False,8,32,8,8,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.332911795626084
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.0005,128,0.0,RAdam,CyclicLR,0.0005,0.03,25,10000.0,10.0,0.3342422958877351
0.0,False,False,False,8,32,4,8,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.334426410910156
0.0,False,False,False,8,64,16,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3344504837360647
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.0004,128,0.0,RAdam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.3371761565407117
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3574284236464236
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.3653050801820225
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,AdamW,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.375854601462682
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.0005,128,0.0,Adam,CyclicLR,0.0005,0.03,25,10000.0,10.0,0.385416426592403
0.0,False,False,False,8,64,16,8,0.2,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.4111136794090271
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.0005,128,0.0,AdamW,CyclicLR,0.0005,0.03,25,10000.0,10.0,0.5617784932255745
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.5617787771754794
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,AdamW,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.56177911741866
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.5619679010576673
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,AdamW,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.5620140814118915
